Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
104730841352892,Elect Michael Saragosa Placerville City Council,Elect Michael Saragosa Placerville City Council,409,3
106722508495879,Action 4 Liberty MN,Action 4 Liberty,409,3
318886775111326,Councilman Alexander Walker-Griffin,Alex For Hercules,409,5
102632377748514,Orange County Republican Party - VT,Orange County GOP Committee,409,11
600459263323975,Montgomery County Republican Party,Montgomery County Republican Party,409,11
215945185182315,Westminster Mint,"WESTMINSTER MINT, INC.",408,5
138276702894458,Right On Crime,Texas Public Policy Foundation,408,5
910834685971360,Jen GV Gilliland Vanasdale Justice for All,Jen GV Gilliland Vanasdale Justice for All,408,2
141454265721189,Agnew For Judge,Agnew for Judge Committee,408,7
104492772201278,Jodi Decker for Michigan's 107th House District,Jodi Decker for Michigan's 107th House District,407,2
720598474762265,POLITICO Focus,POLITICO Focus,407,9
111884680427086,State Representative Ashley Aune,Ashley Aune for Missouri,407,5
101919233222101,Not My Wisconsin,Respect Initiative,407,35
188111517728954,Jeff Duigou,DUIGOU4CT33RD,407,1
31420959864,Citizens Campaign for the Environment,CITIZENS CAMPAIGN FOR THE ENVIROMENT INC,406,7
267414747072316,Marianne Buttenschon for New York State Assembly  119th District,Friends of Marianne Buttenschon,406,1
432753899918072,"Kevin ""Mac"" McGovern VCDD 8","Kevin ""Mac"" McGovern Campaign",406,12
218502534674888,Sheri Biggs,Sheri Biggs for Congress,406,2
437167806480556,AAPI Victory Fund,"AAPI VICTORY FUND, INC.",406,12
432501336618217,Ohio Ethanol Producers Association,Ohio Ethanol Producers Association,406,44
170903029437914,Patriotic Opportunity Hub,Patriotic Opportunity Hub,406,6
221085687747522,Pete Johnson for MN House District 8A,Pete Johnson for MN House District 8A,406,11
935839746498107,Sisters United Alliance,Sisters United Alliance,405,1
98912141410,American Forests,AMERICAN FORESTS,405,1
280644822035288,E3: Elevate Early Education,E3: Elevate Early Education,405,15
997537217011724,Re-Elect Suds Jain for Santa Clara Council,Re-Elect Suds Jain For Santa Clara Council,405,6
105197428692975,Dave McCormick,Friends of Dave McCormick,405,7
102594815784045,Senator Fisher,Senator Fisher,405,23
188238417698990,Getting by in Georgia,MomsRising Together,405,27
212653231933126,Sarah Yang for Ramsey County Commissioner District 7,SARAH YANG FOR COUNTY COMMISSIONER,404,2
127514253776020,Gustavo Blachman For Aventura Commissioner Seat 1,Gustavo Blachman For Aventura Commissioner Seat 1,404,2
2338663179790475,Arizona Moms,MomsRising Together,404,27
249398225453780,Thomson For Albany,Thomson For Albany,404,3
210576345480876,Nick Pirro for State Senate,NICHOLAS PIRRO III COMMITTEE TO ELECT,404,3
1507384416025222,Vince Logan - Will County Board,Vince Logan - Will County Board,403,2
100109144970282,Travis Moore for State House 33,Travis Moore for State House,403,3
210501389118708,"Buckeye, AZ City Government",John O'Halloran,403,6
1644718815768414,Dr. Ramón Rodríguez Ramos,Dr. Ramón Rodríguez Ramos,403,52
101915414983772,Elect Jean Rasch,Elect Jean Rasch,403,4
486554474532226,Los Banos is Not for Sale,Los Banos is Not for Sale,403,1
111652444860966,Debbie Hummel for Oakland,Friends to Elect Debbie Hummel,403,3
347608369166686,North Country Alliance for Balanced Change,North Country Alliance for Balanced Change,403,12
750121728449001,Rebuild SoCal,Rebuild SoCal Partnership,403,11
342007718997381,Silver State Moms,MomsRising Together,403,25
387926591065503,Woman for President 2024,Woman for President 2024,402,2
1810758855819493,Restore Matawan,Matawan Democrats Campaign,402,11
104324594374360,State Representative Eddie Morales Jr.,Eddie Morales Campaign,402,10
457560680771596,Carlos Cardona for NH Senate District 2,Carlos Cardona for NH Senate District 2,402,19
105192727712256,Huron County Michigan Democratic Party,HURON COUNTY DEMOCRATIC PARTY,402,11
155521574309126,Bill Olear for AZ,Bill Olear for AZ,402,10
145286202003469,Michael R. Phillips for Neptune Beach Mayor,Campaign of Michael Phillips for Mayor,402,11
383954991471323,Janet Larsen for NH,Janet Larsen,401,3
222631824256705,Marlese Sifre,Marlese Sifre,401,3
349444991591626,Kelly Clark,Kelly for D33,401,4
585372795479368,Wu for City Council,Wu for City Council 2024,401,3
313163711889577,Mike Barrette For Davison Mayor,Mike Barrette For Davison Mayor,401,4
